#  Time     Vel  VelUpp  VelLow
 302.00    0.00    2.00   -2.00
 303.00    0.00    2.00   -2.00
 304.00    0.00    2.00   -2.00
 305.00    0.00    2.00   -2.00
 306.00    0.00    2.00   -2.00
 307.00    0.00    2.00   -2.00
 308.00    0.00    2.00   -2.00
 309.00    0.00    2.00   -2.00
 310.00    0.00    2.00   -2.00
 311.00    0.00    2.00   -2.00
 312.00    0.00    4.50   -2.00
 313.00    2.50    7.00   -2.00
 314.00    5.00    9.50    0.50
 315.00    7.50   12.00    3.00
 316.00   10.00   14.50    5.50
 317.00   12.50   17.00    8.00
 318.00   15.00   18.82   10.50
 319.00   16.82   20.64   13.00
 320.00   18.64   22.45   14.82
 321.00   20.45   24.27   16.64
 322.00   22.27   26.09   18.45
 323.00   24.09   27.91   20.27
 324.00   25.91   29.73   22.09
 325.00   27.73   31.55   23.91
 326.00   29.55   33.36   25.73
 327.00   31.36   35.18   27.55
 328.00   33.18   37.00   29.36
 329.00   35.00   38.67   31.18
 330.00   36.67   40.33   33.00
 331.00   38.33   42.00   34.67
 332.00   40.00   43.67   36.33
 333.00   41.67   45.33   38.00
 334.00   43.33   47.00   39.67
 335.00   45.00   48.67   41.33
 336.00   46.67   50.33   43.00
 337.00   48.33   52.00   44.67
 338.00   50.00   52.00   46.33
 339.00   50.00   52.00   48.00
 340.00   50.00   52.00   48.00
 341.00   50.00   52.00   48.00
 342.00   50.00   52.00   48.00
 343.00   50.00   52.00   48.00
 344.00   50.00   52.00   48.00
 345.00   50.00   52.00   48.00
 346.00   50.00   52.00   48.00
 347.00   50.00   52.00   48.00
 348.00   50.00   52.00   48.00
 349.00   50.00   52.00   48.00
 350.00   50.00   52.00   46.13
 351.00   48.13   52.00   44.25
 352.00   46.25   50.13   42.38
 353.00   44.38   48.25   40.50
 354.00   42.50   46.38   38.63
 355.00   40.63   44.50   36.75
 356.00   38.75   42.63   34.88
 357.00   36.88   40.75   33.00
 358.00   35.00   38.88   33.00
 359.00   35.00   37.00   33.00
 360.00   35.00   37.00   33.00
 361.00   35.00   37.00   33.00
 362.00   35.00   37.00   33.00
 363.00   35.00   37.00   33.00
 364.00   35.00   37.00   33.00
 365.00   35.00   37.00   33.00
 366.00   35.00   37.00   33.00
 367.00   35.00   37.00   33.00
 368.00   35.00   37.00   33.00
 369.00   35.00   37.00   33.00
 370.00   35.00   37.00   33.00
 371.00   35.00   37.00   33.00
 372.00   35.00   37.00   33.00
 373.00   35.00   37.00   29.50
 374.00   31.50   37.00   26.00
